Date,ACB.VN,BCM.VN,BID.VN,CTG.VN,DGC.VN,FPT.VN,GAS.VN,GVR.VN,HDB.VN,HPG.VN,LPB.VN,MBB.VN,MSN.VN,MWG.VN,PLX.VN,SAB.VN,SHB.VN,SSB.VN,SSI.VN,STB.VN,TCB.VN,TPB.VN,VCB.VN,VHM.VN,VIB.VN,VIC.VN,VJC.VN,VNM.VN,VPB.VN,VRE.VN
2024-11-14,20386.96484375,68600.0,37189.578125,22960.087890625,108468.8515625,114977.6328125,64887.23828125,31057.1171875,16224.5869140625,21916.666015625,25042.22265625,15486.8974609375,71400.0,60430.49609375,37686.7578125,48853.98828125,7911.310546875,16750.0,24086.3359375,32500.0,22211.61328125,13932.2041015625,61092.53125,40350.0,15270.634765625,20350.0,103300.0,59499.05859375,18497.353515625,18100.0
2024-11-15,20262.400390625,68000.0,36535.6953125,22618.419921875,105577.59375,113202.234375,64511.0859375,30564.146484375,15871.1796875,21583.333984375,25082.09765625,15291.6845703125,70600.0,59050.35546875,37154.59375,48331.48828125,7796.65380859375,16800.0,23354.96875,32400.0,21870.646484375,13799.515625,60893.31640625,40250.0,15228.6826171875,20275.0,103300.0,58309.078125,18205.291015625,18200.0
2024-11-18,20345.443359375,67000.0,36331.359375,22755.087890625,105391.0625,113286.7890625,64887.23828125,30712.037109375,15774.7958984375,21500.0,25082.09765625,15226.61328125,70300.0,58064.5390625,36477.296875,48331.48828125,7796.65380859375,16850.0,23696.2734375,32600.0,21870.646484375,14153.3505859375,60428.484375,40800.0,15270.634765625,20200.0,101700.0,57851.39453125,18205.291015625,18100.0
2024-11-19,20179.359375,64000.0,36453.9609375,22789.255859375,102037.7109375,109905.0859375,63852.8046875,29972.58203125,15839.0517578125,21208.333984375,24962.470703125,15063.9365234375,70000.0,56684.39453125,37057.8359375,47896.0703125,7720.21630859375,16900.0,23257.453125,31950.0,21821.935546875,13976.4326171875,59764.4296875,42200.0,15144.77734375,20175.0,101700.0,57668.31640625,18010.58203125,17900.0
2024-11-20,20345.443359375,65700.0,36780.90234375,23233.421875,101654.46875,111934.109375,63570.69140625,30366.958984375,15839.0517578125,21333.333984375,25161.8515625,15324.220703125,70300.0,55994.32421875,37348.109375,48331.48828125,7796.65380859375,16900.0,23696.2734375,32400.0,22260.322265625,14197.578125,59963.64453125,43300.0,15228.6826171875,20175.0,102000.0,58217.54296875,18205.291015625,17900.0
2024-11-21,20636.091796875,65500.0,37066.9765625,23916.759765625,102516.7578125,112441.359375,64134.92578125,30761.333984375,15935.435546875,21541.666015625,25281.478515625,15617.0390625,71300.0,57867.375,37783.51171875,48157.32421875,7834.873046875,16900.0,23988.8203125,33050.0,22601.291015625,14374.49609375,60096.45703125,43300.0,15354.5390625,20175.0,101700.0,58492.15234375,18692.0625,18200.0
2024-11-22,20719.134765625,65800.0,37353.046875,23916.759765625,101462.8515625,113202.234375,65075.32421875,30465.552734375,15871.1796875,21750.0,25401.107421875,15617.0390625,71000.0,58163.12109375,37880.26953125,48244.40625,7834.873046875,16900.0,23745.03125,32650.0,22893.548828125,14241.8076171875,60162.86328125,41600.0,15270.634765625,20225.0,101700.0,58858.30078125,18546.03125,18100.0
2024-11-25,20677.61328125,65700.0,37230.4453125,23985.09375,102516.7578125,113202.234375,65169.36328125,30465.552734375,15871.1796875,21916.666015625,25401.107421875,15584.5048828125,72200.0,58163.12109375,38122.16015625,48331.48828125,7873.09228515625,16850.0,23891.3046875,32850.0,22893.548828125,14286.037109375,60627.6953125,42700.0,15522.3486328125,20500.0,102800.0,58858.30078125,18546.03125,18250.0
2024-11-26,20760.65625,66100.0,37802.59375,24121.759765625,102229.328125,114301.2890625,65451.4765625,30859.9296875,16096.0751953125,21958.333984375,25440.984375,15682.1103515625,72700.0,59148.93359375,37977.02734375,48853.98828125,7911.310546875,16900.0,23988.8203125,33200.0,22942.2578125,14286.037109375,61358.1484375,42400.0,15564.30078125,20525.0,103200.0,59315.98828125,18546.03125,18300.0
2024-11-27,20802.177734375,66100.0,37884.328125,24019.259765625,102420.953125,117429.3515625,65169.36328125,30810.630859375,16160.3310546875,21916.666015625,25759.9921875,15682.1103515625,72700.0,59346.09765625,37831.890625,48853.98828125,7873.09228515625,16950.0,23696.2734375,33200.0,22893.548828125,14286.037109375,61557.36328125,41900.0,15522.3486328125,20375.0,102400.0,59132.91015625,18546.03125,18100.0
